ITEM: TIMESTEP 
30000
ITEM: NUMBER OF ATOMS
95
ITEM: BOX BOUNDS pp pp pp
0 5.31329
0 5.31329
0 5.31329
ITEM: ATOMS type xu yu zu id mol 
2 3.80369 3.78105 4.66702 93 0 
2 3.61299 4.46248 5.18638 94 0 
2 0.928381 4.5659 5.3523 95 0 
ITEM: TIMESTEP
30002
ITEM: NUMBER OF ATOMS
95
ITEM: BOX BOUNDS pp pp pp
0 5.31329
0 5.31329
0 5.31329
ITEM: ATOMS type xu yu zu id mol 
1 7.55489 -3.50819 2.52721 1 1 
1 7.58819 -3.87418 3.30129 2 1 
1 7.51363 -4.0376 4.18634 3 1 
1 6.98582 -4.66794 4.35935 4 1 
1 6.53965 -5.31112 4.62921 5 1 
1 6.1035 -5.69071 5.16243 6 1 
1 6.34353 -6.46605 5.47662 7 1 
1 6.374 -7.08761 5.8962 8 1 
1 6.81935 -7.68772 6.42179 9 1 
1 7.0278 -8.21191 7.11815 10 1 
1 -6.07751 1.10056 -2.37036 11 2 
1 -6.04269 1.15635 -3.19718 12 2 
1 -5.84843 0.891246 -3.93239 13 2 
1 -6.06127 0.878663 -4.67216 14 2 
1 -5.77353 0.728622 -5.54382 15 2 
1 -5.28343 0.938132 -6.21685 16 2 
1 -4.47223 1.30614 -6.07218 17 2 
1 -4.00271 2.00392 -6.05078 18 2 
1 -3.30105 2.3983 -6.10062 19 2 
1 -3.13987 3.33446 -5.93977 20 2 
1 20.0445 7.36139 3.29211 21 3 
1 20.0141 7.9586 3.89933 22 3 
1 19.9173 8.67791 4.48771 23 3 
1 19.6329 9.49484 4.8717 24 3 
1 19.4778 10.0244 5.52293 25 3 
1 18.8871 10.59 5.79911 26 3 
1 18.28 11.0136 6.16146 27 3 
1 17.6378 11.3503 6.70904 28 3 
1 16.925 11.0659 6.74613 29 3 
1 16.1859 10.585 6.95259 30 3 
1 -14.1496 0.661357 2.3409 31 4 
1 -14.4753 0.00237636 2.54371 32 4 
1 -14.9461 -0.343647 3.06825 33 4 
1 -15.3282 -0.791997 3.82022 34 4 
1 -16.1606 -0.859868 3.91159 35 4 
1 -17.0001 -0.768392 3.86938 36 4 
1 -17.8185 -0.894715 3.55292 37 4 
1 -18.4805 -1.36516 3.44418 38 4 
1 -19.3344 -1.42236 3.40017 39 4 
1 -20.0641 -1.32124 3.01639 40 4 
1 8.58356 18.9348 -4.39395 41 5 
1 7.92525 18.2628 -4.53111 42 5 
1 7.29592 17.6694 -4.71385 43 5 
1 6.6374 17.1122 -4.7543 44 5 
1 6.09755 16.4772 -4.94088 45 5 
1 5.67816 15.8997 -4.61157 46 5 
1 5.57646 15.1276 -4.2324 47 5 
1 5.57956 14.5661 -3.59915 48 5 
1 5.74084 13.8152 -3.42077 49 5 
1 6.04806 13.1901 -2.92605 50 5 
2 0.570036 0.241126 0.513814 51 0 
2 1.0599 0.844169 0.424172 52 0 
2 4.67363 0.804065 0.2232 53 0 
2 1.67386 1.44099 0.553481 54 0 
2 2.02058 0.553639 1.11231 55 0 
2 2.32087 2.03617 0.689593 56 0 
2 0.61322 0.227951 1.5296 57 0 
2 1.34097 0.575998 1.39272 58 0 
2 4.6614 0.897792 1.0207 59 0 
2 1.64729 0.313601 2.43674 60 0 
2 4.69466 1.03641 1.73802 61 0 
2 2.25554 1.6004 2.90144 62 0 
2 4.58171 1.13133 2.52905 63 0 
2 2.25728 1.32489 3.72373 64 0 
2 4.0811 2.33975 3.58701 65 0 
2 3.99185 3.0052 4.17468 66 0 
2 1.00438 -0.17855 4.89885 67 0 
2 1.41558 0.323984 4.48578 68 0 
2 0.415265 1.11437 4.49205 69 0 
2 1.06656 1.65965 4.58865 70 0 
2 1.9333 0.951072 4.26548 71 0 
2 1.66561 2.22315 4.55744 72 0 
2 2.07567 2.87842 4.60779 73 0 
2 5.05202 0.837098 4.75366 74 0 
2 1.29062 3.2315 0.861205 75 0 
2 1.04976 3.85607 0.392174 76 0 
2 2.62945 5.5052 0.675357 77 0 
2 3.24698 5.00601 0.343025 78 0 
2 1.62444 2.65816 1.4683 79 0 
2 2.9414 2.65524 0.854657 80 0 
2 0.281542 4.22095 1.39132 81 0 
2 0.320854 4.87027 0.880965 82 0 
2 0.601757 2.86896 2.16686 83 0 
2 0.354335 3.56737 1.8179 84 0 
2 1.22808 5.13762 2.81191 85 0 
2 0.805251 4.76856 3.45035 86 0 
2 1.56078 3.96068 3.20773 87 0 
2 2.35301 3.94317 3.42543 88 0 
